input_text,target_text
大灯测试仪工具 | 选择 | testus | 选择 | applications | freetest,在大灯测试仪工具上，选择testus，然后选择applications>freetest。
行李箱徽标 | 揭除 | 胶面保护条 | 徽标保护膜 | 固定装置 | 定位柱 | 对齐 | 徽标 | 行李箱 | 按压,从行李箱徽标上揭除胶面保护条，将徽标保护膜与固定装置的定位柱对齐，然后将徽标朝行李箱按压。
松开 | 弹簧夹 | 断开 | 车辆右侧 | 动力总成后部供液软管 | 塞子 | 塞住 | 软管 | 凸出侧,松开弹簧夹以断开车辆右侧的动力总成后部供液软管，然后用塞子塞住该软管的凸出侧。
检查 | 后副框架总成 | 后悬架螺栓 | 扭矩 | 请参阅悬架后,检查从车上拆下后副框架总成时松动的任何后悬架螺栓的扭矩。请参阅悬架后。
在助手的帮助下 | 高压接头 | 导片 | 充电接口母排连接器 | 对齐 | 母排连接器 | 安装 | 高压接头,在助手的帮助下，将高压接头上的导片与充电接口母排连接器对齐，然后将母排连接器安装在高压接头上。
电气连接器 | 连接 | 闩锁,将电气连接器连接到闩锁。
验证 | 充电系统,验证充电系统是否工作正常。注使用客户的充电设备。确保所有充电适配器均已就位。
安装 | 正温度系数加热器 | 供暖、通风和空调总成 | 螺钉 | 2.9nm,安装将正温度系数加热器固定到供暖、通风和空调总成的螺钉。2.9nm
打开 | 电池排放接头适配器 | 阀门,打开电池排放接头适配器上的阀门。
拆下 | 左前 | 脚垫,拆下左前脚垫
安装 | 烟火电池隔离开关分流器绝缘体,安装烟火电池隔离开关分流器绝缘体。图4.第一代图5.第二代
铰链托盘 | 垂直安装 | 铰链 | 下压 | 铰链 | 托盘 | 托盘 | 连接 | 铰链 | 下降 | 托盘,将铰链托盘垂直安装到铰链上，下压各铰链上的托盘，让托盘连接到铰链，然后下降托盘位置。
超级瓶 | 添加 | 冷却液 | 使得液位高出max刻度线约6毫米,为超级瓶添加冷却液，使得液位高出max刻度线约6毫米。
中心参考点 | 左右两侧 | 29.5英寸 | 墙壁 | 粘贴 | 胶带,在距离中心参考点的左右两侧29.5英寸处的墙壁上粘贴胶带。这是左右两侧的参考点。
铝胶带改装补片 | 另一个程序指示执行该操作 | 请参阅配电盒漏气测试,需要立即执行配电盒漏气测试的情况包括：在配电盒罩垫圈上或高压电池接合面上发现损坏、更换了铝胶带改装补片或另一个程序指示执行该操作。请参阅配电盒漏气测试。
断开 | 左方向盘开关电气连接器 | 右方向盘开关电气连接器 | 重复此步骤,断开左方向盘开关电气连接器。对右方向盘开关电气连接器重复此步骤。图1.左如图所示，右类似
拆下 | 左侧 | 承梁,拆下左侧承梁
目测 | 配电盒 | 内侧 | 冷却液泄露迹象,目测配电盒内侧，是否存在冷却液泄露迹象。注重点区域包括冷却液输入和输出管与连接件，以及配电盒边界周围。警告如发现有冷却液泄露，请上报toolbox会话。
拆下 | 冷却风扇模块 | 请参阅模块冷却风扇,拆下冷却风扇模块。请参阅模块冷却风扇
使用 | 触摸屏 | 雨刮器 | 维修模式 | 清除,使用触摸屏，将雨刮器从维修模式清除。
驾驶位座椅 | 放置 | 作业表面,将驾驶位座椅放置在洁净的作业表面上。
拧紧 | 中央滑板盖 | 高压电池 | 中间部分 | 螺栓 | 34nm | 车辆右侧 | 重复执行第36至第42步,拧紧穿过中央滑板盖固定高压电池中间部分的螺栓。34nm在车辆右侧重复执行第36至第42步。
液压轮毂拉拔器工具 | 安装 | 左前 | 车轮支柱 | 安装 | 拧紧 | 轮毂螺母,将液压轮毂拉拔器工具安装在左前车轮支柱上，然后安装并用手拧紧轮毂螺母。
拆下 | 挡风玻璃清洗器储液罐 | 车身 | 下部 | 螺栓,拆下将挡风玻璃清洗器储液罐固定到车身的下部螺栓。
拆下 | 行李箱 | 撞销 | 评估 | 总成 | 自然定位,拆下行李箱的撞销，以便准确评估总成的自然定位。警告通过调整撞销强行定位行李箱可能导致铰链和闩锁总成过早磨损。
毡毯 | 安装 | 前备箱储物单元,将毡毯安装在前备箱储物单元中。
toolbox | 执行 | 自测例程 | 连接 | toolbox3 | 笔记本电脑 | 点击 | actions/autodiag | 搜索 | endpoint | 选择 | test#self_vc#sec_x_end#point#comm | 点击 | run,在toolbox中执行自测例程：连接安装了toolbox3的笔记本电脑。点击actions/autodiag，然后搜索endpoint。选择test#self_vc#sec_x_end#point#comm，然后点击run，并完成例程。注完成后，在窗口上点击x以便将其关闭。
断开 | 左前侧 | 转向灯连接器 | 电气线束 | 拆下 | 转向灯,断开左前侧转向灯连接器的电气线束，然后从车上拆下该转向灯。
断开 | 低压传感器 | 电气连接器,断开低压传感器上的电气连接器。
电气线束 | 连接 | 加速踏板 | 制动踏板连接器,将电气线束连接到加速踏板和制动踏板连接器。
toolbox3 | 点击 | actions/autodiag选项卡 | 搜索字段 | 输入 | purge | 点击 | coolantairpurge | 点击 | run,在toolbox3中，点击actions/autodiag选项卡，在搜索字段中输入purge，点击coolantairpurge，点击run，然后等待例程完成。
拆下 | 手套箱 | 请参阅手套箱无膝部气囊,拆下手套箱。请参阅手套箱无膝部气囊。注对于右侧驾驶车辆，拆下副驾位脚部空间罩。请参阅罩脚部空间副驾位。
超级歧管 | 拆下 | 冷却液罐,从超级歧管上拆下冷却液罐注将冷却液罐朝车尾方向滑离超级歧管以将其拆下，然后旋出顶部，确认冷却液罐o型环已随冷却液罐一起拆下
拆下 | 减震塔支架 | 车身 | 左和右外侧 | 螺栓 | 62nm,拆下将减震塔支架固定到车身的左和右外侧螺栓。62nm
中控台顶部杯托 | 后面 | 钥匙读取器 | 确认钥匙已认证并能启动车辆,将每把新钥匙放在中控台顶部杯托后面的钥匙读取器上，以确认钥匙已认证并能启动车辆。
右车架纵梁 | 外侧 | 拆下 | 前部 | 线束夹,从右车架纵梁外侧拆下前部线束夹。
拆下 | c柱右上部饰板 | 请参阅饰板c柱上部左,拆下c柱右上部饰板。请参阅饰板c柱上部左。
a柱和b柱区域 | 松开 | 电气线束 | 车身 | 夹子,在a柱和b柱区域，松开将电气线束固定到车身的夹子。
30秒后 | 当抛光剂开始消散时 | 关闭 | 抛光机 | 仅在切割垫停止转动时，才能从车身板件上移走抛光机,30秒后，或者当抛光剂开始消散时，关闭抛光机。仅在切割垫停止转动时，才能从车身板件上移走抛光机。
拧紧 | 后副框架 | 车身 | 新螺栓,用手拧紧将后副框架固定到车身的新螺栓。注将在本程序的后续步骤中执行螺栓的拧紧操作。
调整 | 撞销 | 直至车门毫不费力就能顺利关闭 | 并且在完全锁紧状态下与相邻面板正确对齐,调整撞销，直至车门毫不费力就能顺利关闭，并且在完全锁紧状态下与相邻面板正确对齐。注如果需要用大力才能关闭车门、车门无法锁紧或无法与安装的撞销正确对齐，则可能需要调整撞销。
回收 | 油量 | 供油瓶 | 注入 | nd11规格的酯类油,按回收中确定的油量，向供油瓶中注入nd11规格的酯类油。
如果尚未激活 | 进入大灯调节模式 | 车辆触摸屏 | 点击 | 控制 | 维护 | 调节大灯,如果尚未激活，请进入大灯调节模式。在车辆触摸屏上，点击：控制>维护>调节大灯。
松开 | 保险丝检修口绝缘体 | 右配电盒总线盖 | 夹子 | 拆下 | 绝缘体,松开将保险丝检修口绝缘体固定到右配电盒总线盖的夹子，然后拆下绝缘体。
触摸屏 | 点击 | 控制 | 点击 | 软件图标 | 显示 | 车辆固件版本 | 如果车辆运行2018.36.8或更高版本固件 | 执行第5步 | 如果车辆运行较低版本固件 | 则将车辆固件更新至2018.36.8或更高版本 | 请参阅固件更新,在触摸屏上，点击控制，然后点击软件图标即可显示车辆固件版本。如果车辆运行2018.36.8或更高版本固件，则执行第5步。如果车辆运行较低版本固件，则将车辆固件更新至2018.36.8或更高版本。请参阅固件更新。
拆下 | 顶部支座 | 左后 | 减震器 | 螺栓,拆下在顶部支座处固定左后减震器的螺栓。提示：推荐使用以下工具：15毫米套筒3英寸加长件
尼龙绳 | 拉入 | 车辆内部 | 背光灯玻璃,将尼龙绳拉入车辆内部的背光灯玻璃中。
仪表板线束夹 | 安装 | 右上部 | 模式执行机构 | 旁边 | 暖通空调总成,将仪表板线束夹安装到右上部模式执行机构旁边的暖通空调总成注1个夹子
拧紧 | 左横梁支架 | 横梁 | 螺栓,拧紧将左横梁支架固定到横梁的螺栓注1个螺栓，13毫米，25nm
安装 | 座舱上部进气槽总成,安装座舱上部进气槽总成
断开 | 高压传感器 | 电气连接器,断开高压传感器上的电气连接器。
抓住 | 球颈 | 顶部 | 拖车挂钩外壳 | 凹口 | 对齐,从底部牢牢抓住球颈，并将顶部与拖车挂钩外壳中的相应凹口对齐。注切勿抓握锁芯，因其需要自由转动。
车辆右侧 | 执行 | 改装 | 右防溅罩,对车辆右侧执行本程序，以便改装右防溅罩。
拆下 | 前备箱盖 | 撞销 | 评估 | 总成 | 自然定位,拆下前备箱盖的撞销，以便准确评估总成的自然定位。警告通过调整闩锁强行定位前备箱盖间隙可能导致铰链和闩锁总成过早磨损。
断开 | 解析器连接器 | 驱动单元 | 连接,断开解析器连接器与驱动单元的连接注1个连接器，2个夹子；松开锁片
安装新把手 | 把手 | 安装 | 新车门 | 请执行把手调节作业 | 请参阅把手外部释放车门前左,安装新把手后，或拆下的把手安装到新车门上后，请执行把手调节作业。请参阅把手外部释放车门前左。
软管 | 连接 | 车辆 | 执行 | 空调回收,将软管连接到车辆，然后执行空调回收注仅限维修时间；将耦合器连接到车辆；顺时针旋转打开耦合器；打开机器阀门；注意制冷剂和机油的回收量，标记机油排放瓶的机油液位；如果排油量增加超过30毫升，请参考排油损失图。真空泄漏测试和注油.
拆下 | 左和右 | 剪力板 | 高压电池 | 螺栓 | 拆下 | 剪力板 | 长螺栓 | 安装 | 后副框架 | 30nm | 128nm,拆下将左和右剪力板固定到高压电池的螺栓，拆下剪力板，然后直接将长螺栓重新安装到后副框架中。30nm128nm提示：推荐使用以下工具：13毫米套筒21毫米套筒3英寸加长件6英寸加长件
左高压电池柱总成 | 拆下 | 泄漏测试适配器 | 新通气口 | 安装 | 左柱总成,从左高压电池柱总成中拆下泄漏测试适配器，然后将新通气口安装到左柱总成中。
松开 | 顶篷 | 后边缘 | 车身 | 夹子,松开将顶篷后边缘固定到车身的夹子。注如果需要，在顶蓬与车身之间使用一个气囊以增加间隙。警告切勿损坏顶蓬。
toolbox | 点击 | actions/autodiag选项卡 | 搜索字段 | 输入 | redeploy,在toolbox中，点击actions/autodiag选项卡，然后在搜索字段中输入redeploy。
移动 | 座椅 | 底部,移动座椅，以便为底部留出空间。
左侧 | 帘气囊 | 胎压监控系统模块区域 | 松开 | 电气线束 | 车身 | 夹子,在左侧帘气囊和胎压监控系统模块区域，松开将电气线束固定到车身的夹子。
安装 | 顶部支座 | 左后 | 减震器 | 螺栓 | 41nm,安装在顶部支座处固定左后减震器的螺栓。41nm
12v电池负极电缆 | 连接 | 电池 | 向下按压 | 终端线夹 | 使其牢固就位于电池极柱上,将12v电池负极电缆连接到电池，然后向下按压终端线夹，使其牢固就位于电池极柱上。
安装 | 电池回流软管 | 超级瓶 | 夹子,安装将电池回流软管固定到超级瓶的夹子。
针对内部 | 排放阀 | 重复第12步至第18步 | 针对外部排放阀再次执行该操作,针对内部排放阀重复第12步至第18步，然后针对外部排放阀再次执行该操作。
供暖、通风和空调总成 | 置于 | 作业表面 | 侧放 | 供暖、通风和空调总成 | 供暖、通风和空调入口 | 朝上,将供暖、通风和空调总成置于作业表面上。务必侧放供暖、通风和空调总成，使供暖、通风和空调入口朝上。
拆下 | 前滑板 | 高压电池 | 螺栓 | 电池 | 拆下 | 滑板,拆下将前滑板固定到高压电池的螺栓，然后从电池上拆下滑板。
正温度系数加热器线束 | 推过 | 隔板 | 安装 | 索环,将正温度系数加热器线束推过隔板，然后安装索环。注将高压电缆送过隔板时请务必小心，切勿损坏电缆。
使用 | 饰板工具 | 松开 | 右脚部空间进气槽 | 暖通空调模块 | 推拉式夹 | 拆下 | 右脚部空间进气槽,使用饰板工具松开将右脚部空间进气槽连接到暖通空调模块的推拉式夹，然后从车上拆下右脚部空间进气槽。
拆下 | 后门槛板左饰板 | 请参阅饰板门槛板后左,拆下后门槛板左饰板。请参阅饰板门槛板后左。
加热 | 泵款model3 | 拉动 | 红色锁片 | 解锁 | 拉动 | 红色锁片 | 断开 | 电气线束 | 转向机构下方低压逻辑连接器 | 连接,加热泵款model3拉动红色锁片以解锁，然后再次拉动红色锁片以断开电气线束与转向机构下方低压逻辑连接器的连接。
拧松 | 减震塔支架 | 右减震塔 | 内部 | 螺栓,拧松将减震塔支架固定到右减震塔的内部螺栓。
安装 | 左脚部空间进气槽 | 请参阅风管脚部空间左,安装左脚部空间进气槽。请参阅风管脚部空间左。
前驱动单元 | 高压电池线束 | 前驱动单元高压连接器 | 连接 | 前驱动单元高压接头,用双手将前驱动单元至高压电池线束的前驱动单元高压连接器牢固连接到前驱动单元高压接头上。
断开 | ecu | 充电端口跳线电缆 | 车辆 | 拆下 | 线束,断开ecu上的充电端口跳线电缆，然后从车辆上拆下线束。
松开 | 冷却器 | 排出 | 冷却液,稍微松开冷却器，排出多余的冷却液注稍微松开冷却器右侧，排出多余的冷却液，冷却液排放期间，保持与超级歧管连接的空调端口完好，以避免交叉污染
安装 | 副框架线束 | 副框架 | 底部后端 | 夹子,安装将副框架线束固定到副框架底部后端的夹子注2个夹子
拧紧 | 左横梁 | 车身 | 螺栓,拧紧将左横梁固定到车身的螺栓注2个螺栓，15毫米，29nm
座垫 | 就位,将座垫就位。
大灯测试仪工具 | 按下 | 屏幕 | 右侧的右tmr按钮 | 按下 | 屏幕底部 | tmr按钮,在大灯测试仪工具上，按下屏幕右侧的右tmr按钮，然后按下屏幕底部的tmr按钮。注屏幕底部的l和r指示灯与其灯位相反：l位于右侧，而r位于左侧。
断开 | 高频扬声器 | 电气连接器 | 车门 | 拆下 | 高频扬声器,断开高频扬声器上的电气连接器，然后从车门上拆下高频扬声器。
等待1分钟 | 关闭 | p1,等待1分钟，然后关闭p1。
安装 | 左后 | 前翼子板 | 车辆 | 螺栓 | 9.8nm,安装将左后前翼子板固定到车辆的螺栓。9.8nm
在助手的帮助下 | 使用 | 起重机架 | 降低 | 驱动单元吊索工具 | 引导半轴远离新的前驱动单元 | 新的前驱动单元 | 降到 | 前副框架,在助手的帮助下，使用起重机架降低驱动单元吊索工具，引导半轴远离新的前驱动单元，并将新的前驱动单元降到前副框架中。注确保前驱动单元后部支柱与旧的前驱动单元升起时的位置相同。
左后 | 悬架护板 | 安装 | 下方 | 尾连杆 | 安装 | 悬架护板 | 连杆 | 螺栓 | 6nm | 拆下 | 翼子板支架饰板 | 左侧 | 左前 | 翼子板 | 螺栓 | 拆下 | 支架,将左后悬架护板安装到下方尾连杆上，然后安装将悬架护板固定到连杆的螺栓。6nm拆下将翼子板支架饰板左侧固定到左前翼子板的螺栓，然后从车上拆下支架。图4.左如图所示，右类似
如果差值仍大于0.2psi | 升级 | toolbox会话 | 如果差额小于0.2psi | 继续执行本程序,如果差值仍大于0.2psi，则升级toolbox会话。如果差额小于0.2psi，请继续执行本程序。
使用 | 胶带 | 连接 | 车顶玻璃,使用胶带暂时连接固定车顶玻璃。
掀起 | 后备箱底板饰板 | 拆下,掀起后备箱底板饰板，从车上拆下。提示：使用后备箱底板饰板后侧边缘处的拉片。
拆下 | 空调端口盖,拆下空调端口盖。
安装 | 手套箱 | 仪表板支架 | 螺钉 | 2.3nm,安装将手套箱固定到仪表板支架的螺钉。2.3nm提示：推荐使用以下工具：torxt20套筒?英寸标准棘轮?英寸扭矩扳手4英寸加长件
拆下 | 扩散器 | 内部 | 后饰板 | 螺栓 | 3nm,拆下将扩散器固定到内部后饰板的螺栓。3nm提示：推荐使用以下工具：10毫米套筒6英寸加长件图1.内侧图2.外侧
b柱上部饰板 | 顶部 | 插入 | 顶篷 | 下方,将b柱上部饰板的顶部插入顶篷下方。
左前 | 制动钳 | 执行 | 排放程序 | 请参阅制动液排放一个制动钳,为左前制动钳执行排放程序。请参阅制动液排放一个制动钳。
拆下 | 导管 | 高压电池交流电源插座线束 | 夹子 | 拆下 | 导管,拆下将导管固定到高压电池交流电源插座线束的夹子，然后从车上拆下导管。
松开 | 夹子 | 拆下 | 驾驶位脚部空间罩 | 车辆 | 螺钉 | 2.5nm,松开夹子，然后拆下将驾驶位脚部空间罩固定到车辆的螺钉。2.5nm提示：推荐使用以下工具：torxt20套筒?英寸标准棘轮?英寸扭矩扳手4英寸加长件图1.左侧驾驶图2.右侧驾驶
前部 | 线束夹 | 安装 | 右前 | 车架纵梁,将前部线束夹安装在右前车架纵梁处。注夹子的数量可能有所不同。
拆下 | 管路 | 减震塔支架 | 螺栓 | 5.5nm,拆下将管路固定到减震塔支架的螺栓。5.5nm
超级歧管 | 拆下 | 液冷冷凝器止回阀,从超级歧管上拆下液冷冷凝器止回阀。警告如果拆卸期间止回阀与铝盖分离，请勿使用金属工具。金属工具可能会刮伤超级歧管外壳，从而导致内部损坏。请用手指或在90度起子上缠绕电工胶带。
扣紧 | 螺钉罩 | 左和右后 | 衣帽钩 | 夹子,扣紧将螺钉罩固定到左和右后衣帽钩的夹子。
断开 | 烟火执行机构连接器,断开烟火执行机构连接器。
安装 | 左后 | 车窗电机 | 调节器总成 | 车门 | 螺栓 | 4nm,安装将左后车窗电机/调节器总成固定到车门的螺栓。4nm注手动拧上螺栓，以避免脱纹。
拆下 | 左和右 | 仪表板端盖 | 请参阅端盖仪表板左,拆下左和右仪表板端盖。请参阅端盖仪表板左。
拆下 | 行李箱闩锁 | 请参阅闩锁行李箱,拆下行李箱闩锁。请参阅闩锁行李箱。
驾驶位座椅 | 放置 | 75千克 | 压舱袋,在驾驶位座椅上放置75千克压舱袋。
对于配备主动防护前罩的model3 | 断开 | 左和右前 | 行人保护压力管传感器,对于配备主动防护前罩的model3：断开左和右前行人保护压力管传感器。
断开 | 直列电气线束连接器 | x909 | 左车身线束 | 连接 | 左车身控制器模块 | 分离,断开直列电气线束连接器x909与左车身线束的连接，然后将其与左车身控制器模块分离开。
测试完两个 | 雾灯后 | 选择 | 大灯测试仪工具 | save图标,测试完两个雾灯后，再次选择大灯测试仪工具上的save图标以查看测试结果。
松开 | 挡风玻璃线束 | 挡风玻璃 | 顶部 | 夹子 | 拆下 | 线束,松开将挡风玻璃线束固定到挡风玻璃顶部的夹子，然后从车上拆下线束。
横梁 | 右侧 | 安装 | 夹子,在横梁右侧安装夹子
装配 | 加热泵 | model3 | 拆下 | 第二排下部 | 座垫 | 请参阅座垫下第二排,对于装配加热泵的model3：拆下第二排下部座垫。请参阅座垫下第二排。
断开 | 电气线束 | 行李箱拉紧闩锁 | 连接,断开电气线束与行李箱拉紧闩锁的连接。
拆下 | 第二排 | 锁扣总成,拆下第二排锁扣总成：左：请参阅锁扣第二排左。右和中央：请参阅锁扣第二排中间。
j1电源电气连接器 | 连接 | 右车身控制器模块 | 接合 | 连接器锁,将j1电源电气连接器连接到右车身控制器模块，然后接合连接器锁。注确保电气连接器完全就位。
检查 | 冷却液液位 | 必要时加满 | 请参阅冷却系统,检查冷却液液位，必要时加满。请参阅冷却系统。
右霍尔效应传感器 | 两侧 | 拆下 | 高压电池配电盒线束 | 功率转换系统直流总线高压线束 | 电缆扎带,在右霍尔效应传感器的两侧，拆下将高压电池配电盒线束固定到功率转换系统直流总线高压线束的电缆扎带。
拆下 | 高压电池快充触点开关 | 请参阅触点开关–快速充电高压电池,拆下高压电池快充触点开关。请参阅触点开关–快速充电高压电池。
塞子 | 塞住 | 前驱动单元逆变器热交换器软管 | 热交换器冷却液接头,用塞子塞住处于打开状态的前驱动单元逆变器热交换器软管，以及热交换器冷却液接头。
松开 | 电气线束 | 前饰板 | 夹子 | 饰板 | 拆下 | 电气线束,松开将电气线束固定到前饰板的夹子，然后从饰板上拆下电气线束。
安装 | 前备箱盖总成 | 前备箱盖左和右铰链 | 螺母 | 拧紧 | 螺母,安装将前备箱盖总成固定到前备箱盖左和右铰链的螺母，但此时切勿拧紧螺母。
轮毂盖 | 置于 | 车轮 | 上方 | teslat | 指向 | 气门嘴 | 。,将轮毂盖置于车轮上方，使teslat指向气门嘴方向。图3.18英寸风车气动轮毂盖图4.19英寸或20英寸轮毂盖
温度系统横梁电气线束 | 连接 | 超级瓶液位温度传感器连接器,将温度系统横梁电气线束连接到超级瓶液位温度传感器连接器。
配电盒 | 安装 | 充电端口线束支架 | 车辆 | 螺栓 | 10nm,在配电盒处安装将充电端口线束支架固定到车辆的螺栓。10nm
拆下 | 左前 | 翼子板,从车上拆下左前翼子板。
断开 | 动力总成冷却液泵 | 电气连接器,断开动力总成冷却液泵上的电气连接器。警告切勿向下按红色锁片。将锁片朝远离连接器的方向拉，直至连接器解锁，然后继续拉以松开连接器。
安装 | 左电机支座 | 左电机支座支架 | 螺栓 | 105nm,安装将左电机支座固定到左电机支座支架的螺栓。105nm注可能需要调整副框架夹具以将螺栓对准支座。
踩住 | 制动踏板 | 点击 | actions | 点击 | proc_epbr_start#service#mode | play按钮 | 选择 | run,踩住制动踏板，点击actions，点击proc_epbr_start#service#mode旁边的play按钮，然后选择run。
固定 | 顶篷 | 前部 | 车身 | 夹子,固定将顶篷前部固定到车身的夹子。注将a柱和b柱附近的主密封条重新放置到顶蓬。
充电端口线束 | 前部 | 排布 | 低压电气线束 | 下方 | 充电端口线束 | 前部 | 向下移 | 移离 | 低压电气线束 | 线束 | 向上,小心地将充电端口线束的前部排布在低压电气线束下方。将充电端口线束的前部向下移并移离低压电气线束，然后让线束向上。注请勿损坏低压电气线束。
断开 | 电气线束 | 中控台后部usb集线器连接器 | 连接 | 拆下 | 中控台后通风总成,断开电气线束与中控台后部usb集线器连接器之间的连接，然后从车上拆下中控台后通风总成。
打开 | 车门 | 降下 | 车窗,打开全部车门并降下全部车窗。注锁定左后和右后车门以防断电时意外关闭。
请助手帮忙 | 支柱塔支架 | 下方 | 支撑 | 空调压缩机总成 | 预拧 | 空调压缩机总成 | 支架 | 螺栓 | 拧紧 | 螺栓 | 31nm,请助手帮忙在支柱塔支架下方支撑空调压缩机总成，用手预拧将空调压缩机总成固定到支架的螺栓，然后拧紧螺栓。31nm注请勿拆下空调压缩机上的盖子。提示：推荐使用以下工具：15毫米深套筒回旋头棘轮/回旋头扭矩扳手
接地带连接点 | 安装 | 冷却液软管 | 空调压缩机支架 | 夹子,在接地带连接点附近，安装将冷却液软管固定到空调压缩机支架的夹子。
拆下 | 12v电源线 | 左车身控制器模块 | 螺母,拆下并弃用将12v电源线固定到左车身控制器模块的螺母。提示：推荐使用以下工具：10毫米深12角套筒?英寸标准棘轮?英寸扭矩扳手4英寸加长件
冷却器 | 安装 | 超级歧管 | 安装 | 紧固件 | 拧紧,将冷却器安装到超级歧管上，然后安装紧固件并用手拧紧注使用nd11油润滑o型环，确认冷却器已完全置于超级歧管上，然后安装紧固件，在后续步骤中拧紧
导管 | 插入 | 功率转换系统 | 确保o型环未损坏，并且稳妥固定在连接器卡槽中 | 按需更换组件,在将导管插入功率转换系统前，应确保o型环未损坏，并且稳妥固定在连接器卡槽中。按需更换组件。o型环情况良好o型环情况不佳
拧紧 | 充电接口 | 高压电池电线线束 | 左c柱下部 | 夹子,拧紧将充电接口至高压电池电线线束固定到左c柱下部的夹子。
手套箱usb电缆 | 连接 | 车载电脑,将手套箱usb电缆连接到车载电脑注1个连接器
使用 | 方向盘 | 左侧 | 滚轮 | 调节 | 光束等级 | 调节 | 左大灯 | 光束右上部 | 对齐 | 墙壁 | 胶带标记 | 有角度的部分如图所示对齐,使用方向盘上的左侧滚轮调节光束等级。调节左大灯，使光束右上部对齐墙壁上的胶带标记，有角度的部分如图所示对齐。图9.调节左大灯光束
安装 | 超级歧管 | 压缩机排气管路 | 压缩机 | 螺母 | 22nm,安装将超级歧管至压缩机排气管路固定到压缩机的螺母。22nm注推荐使用以下工具：13毫米深套筒回旋头棘轮/回旋头扭矩扳手
断开 | 连接器 | usb控制器 | 连接,断开连接器与usb控制器的连接。
车辆左侧 | 重复第6至12步,在车辆左侧重复第6至12步。
鳄鱼夹 | 连接 | 一起 | 红色夹子 | 咬住 | 黑色夹子 | 上卡爪 | 使每个夹子上的v朝上,将鳄鱼夹连接在一起，使红色夹子咬住黑色夹子的上卡爪，并使每个夹子上的v朝上。
拆卸程序 | 安装程序 | 请参阅车顶行李架,拆卸程序与安装程序相反。请参阅车顶行李架。
安装 | 左前门扬声器 | 请参阅扬声器前车门左,安装左前门扬声器。请参阅扬声器前车门左。
检查 | 车辆的车身高度是否在规格范围内 | 请参阅轮毂定位,检查车辆的车身高度是否在规格范围内。请参阅轮毂定位。
如已安装 | 松开 | 分流器检修口绝缘体 | 分流器 | 上方 | 夹子 | 拆下 | 绝缘体,如已安装，请松开将分流器检修口绝缘体固定在分流器上方的夹子，然后拆下绝缘体。
连接 | 手套箱总成连接器,连接手套箱总成连接器注3个连接器；重新布置路面照明灯线束，防止阻碍棘爪的移动；连接前确保线束在副驾位脚部空间通风槽上方正确布线
右前 | 主舱毡毯 | 折叠 | 一旁,将右前主舱毡毯折叠到一旁，以便于检修注2个夹子；提起中间件并将毡毯向后拉；从夹子上松开座椅线束，以便将毡毯向后多折叠一些
座椅滑轨 | 拆下 | 第一排 | 外侧 | 腰带预紧装置,从座椅滑轨上拆下第一排外侧腰带预紧装置。
拆下 | 环境温度传感器,从车上拆下环境温度传感器。
断开 | 方向盘电气线束 | 连接器 | 连接,断开方向盘电气线束与连接器之间的连接。
约束控制模块 | 安装 | 车身 | 安装 | 新螺母 | 模块 | 车身 | 8nm,将约束控制模块安装到车身上，然后安装新螺母，将该模块固定到车身。8nm注推荐使用以下工具：10毫米套筒2英寸加长件?英寸标准棘轮?英寸扭矩扳手
断开 | 电气线束 | 车门闩锁连接器 | 连接,断开电气线束与车门闩锁连接器之间的连接。
配电盒外周密封件 | 安装 | 高压电池,将配电盒外周密封件安装到高压电池上。
使用 | 异丙醇湿巾 | 清洁 | 饰板 | 固定件 | 安装区域,使用异丙醇湿巾清洁饰板和固定件的安装区域。注让表面干燥1分钟，然后继续。
充电接口 | 高压电池线束 | 直流输入连接器 | 连接 | 配电盒直流输入接头,用双手将充电接口至高压电池线束的直流输入连接器牢固连接到配电盒直流输入接头上。警告确保连接器与接头稳固连接。
左通风槽 | 放置 | 仪表板 | 连接 | 线束连接器,将左通风槽放置在仪表板中，然后连接线束连接器注1个连接器
暖通空调电气连接器 | 连接 | 左车身控制器模块 | 接合 | 连接器锁,将暖通空调电气连接器连接到左车身控制器模块，然后接合连接器锁。注确保电气连接器完全就位。
安装 | 12v辅助电池 | 但请勿在此时连接电池负极端子 | 请参阅12v/低压电池,安装12v辅助电池，但请勿在此时连接电池负极端子。请参阅12v/低压电池。
左大灯调节完成时 | 移开 | 右大灯遮盖物,左大灯调节完成时，移开右大灯遮盖物。
松开 | 电气线束 | 后部 | 中央支架总成 | 夹子,松开将电气线束固定到后部中央支架总成的夹子。注末端的夹子隐藏在电气连接器后。
拆下 | 暖通空调气室内管 | 车身 | 紧固件 | 拆下 | 内管,拆下将暖通空调气室内管固定到车身的紧固件，然后从车上拆下内管。
松开 | 右导管热敏电阻 | 仪表板线束夹,松开右导管热敏电阻旁边的仪表板线束夹注1个线束夹
使用 | t柄扳手 | 固定 | 电线 | 两端,使用t柄扳手固定电线的两端。
断开 | 驾驶位膝部气囊 | 线束连接器 | 拆下 | 气囊,断开驾驶位膝部气囊上的线束连接器，然后从车上拆下该气囊。
拆下 | 左前门玻璃 | 请参阅玻璃车门左前,拆下左前门玻璃。请参阅玻璃车门左前
安装 | 右控制台侧面板毡毯,安装右控制台侧面板毡毯注1个锁片，12个夹子；放置侧面板并对齐前部锁片。从前向后推中控台面板
返回 | toolbox选项卡 | autodiag,返回toolbox选项卡和autodiag。
